file_id,cycle_id,i_start,i_end,t_start,t_end,n_samples,area,fs
04_apex_mid_sys_click_supine_bell,1,17812,25261,0.403877551020408,0.572789115646258,7450,0.0711246501008097,44100
04_apex_mid_sys_click_supine_bell,2,31754,40060,0.720022675736961,0.908367346938776,8307,0.088345818502254,44100
04_apex_mid_sys_click_supine_bell,3,55356,62792,1.25521541950113,1.42383219954649,7437,0.0714405145776734,44100
04_apex_mid_sys_click_supine_bell,4,69332,77619,1.57213151927438,1.76004535147392,8288,0.0888093832634345,44100
04_apex_mid_sys_click_supine_bell,5,92895,100560,2.10643990929705,2.28024943310658,7666,0.0758137686493086,44100
04_apex_mid_sys_click_supine_bell,6,106913,115203,2.42430839002268,2.61229024943311,8291,0.0882430910048593,44100
04_apex_mid_sys_click_supine_bell,7,130436,138164,2.95770975056689,3.13294784580499,7729,0.0775346299530459,44100
04_apex_mid_sys_click_supine_bell,8,144459,152732,3.27569160997732,3.46328798185941,8274,0.0885538870142624,44100
04_apex_mid_sys_click_supine_bell,9,167995,175389,3.80938775510204,3.97705215419501,7395,0.0706855906043447,44100
04_apex_mid_sys_click_supine_bell,10,181919,190278,4.12512471655329,4.31467120181406,8360,0.0891937479526801,44100
04_apex_mid_sys_click_supine_bell,11,205528,212988,4.66047619047619,4.82963718820862,7461,0.0717809357771033,44100
