file_id,cycle_id,i_start,i_end,t_start,t_end,n_samples,area,fs
11_apex_s4__mid_sys_mur_lld_bell,1,10001,20901,0.226757369614512,0.473922902494331,10901,0.111664454092497,44100
11_apex_s4__mid_sys_mur_lld_bell,2,28957,37630,0.656598639455782,0.853265306122449,8674,0.0683605848128514,44100
11_apex_s4__mid_sys_mur_lld_bell,3,49629,60485,1.1253514739229,1.37151927437642,10857,0.107237304660583,44100
11_apex_s4__mid_sys_mur_lld_bell,4,68732,77271,1.55852607709751,1.75215419501134,8540,0.0694816292491639,44100
11_apex_s4__mid_sys_mur_lld_bell,5,89303,100109,2.02498866213152,2.27002267573696,10807,0.110012133362063,44100
11_apex_s4__mid_sys_mur_lld_bell,6,108612,116924,2.46283446712018,2.65131519274376,8313,0.0639278409454116,44100
11_apex_s4__mid_sys_mur_lld_bell,7,128929,140031,2.92353741496599,3.17528344671202,11103,0.116360123387415,44100
11_apex_s4__mid_sys_mur_lld_bell,8,148287,156571,3.36249433106576,3.55034013605442,8285,0.0592852449930579,44100
11_apex_s4__mid_sys_mur_lld_bell,9,168622,179726,3.82360544217687,4.07539682539683,11105,0.115506669151443,44100
11_apex_s4__mid_sys_mur_lld_bell,10,187831,196218,4.25918367346939,4.44936507936508,8388,0.0658364516807355,44100
