file_id,cycle_id,i_start,i_end,t_start,t_end,n_samples,area,fs
16_aortic_early_dias_mur_sitting_bell,1,25745,34592,0.583764172335601,0.78437641723356,8848,0.0976800965226435,44100
16_aortic_early_dias_mur_sitting_bell,2,47442,55355,1.07575963718821,1.25519274376417,7914,0.0574312939071669,44100
16_aortic_early_dias_mur_sitting_bell,3,61030,69847,1.38387755102041,1.58380952380952,8818,0.0968886986346292,44100
16_aortic_early_dias_mur_sitting_bell,4,82736,90645,1.87607709750567,2.05541950113379,7910,0.0574953839951634,44100
16_aortic_early_dias_mur_sitting_bell,5,96285,105176,2.18331065759637,2.38492063492063,8892,0.0979185529800741,44100
16_aortic_early_dias_mur_sitting_bell,6,118006,125925,2.67585034013605,2.85541950113379,7920,0.0574072798652178,44100
16_aortic_early_dias_mur_sitting_bell,7,131595,140435,2.98399092970522,3.18444444444444,8841,0.0973203649133394,44100
16_aortic_early_dias_mur_sitting_bell,8,153269,161186,3.47546485260771,3.65498866213152,7918,0.0578488079849393,44100
16_aortic_early_dias_mur_sitting_bell,9,166883,175714,3.78417233560091,3.98442176870748,8832,0.0979189548646007,44100
16_aortic_early_dias_mur_sitting_bell,10,188559,196477,4.27569160997732,4.4552380952381,7919,0.0573328196224385,44100
16_aortic_early_dias_mur_sitting_bell,11,202164,210970,4.58419501133787,4.78387755102041,8807,0.0969287167870156,44100
