file_id,cycle_id,i_start,i_end,t_start,t_end,n_samples,area,fs
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,1,32324,40760,0.732947845804989,0.924240362811791,8437,0.0892817750900444,44100
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,2,47133,54521,1.06875283446712,1.23628117913832,7389,0.0744081822182229,44100
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,3,70257,80254,1.59310657596372,1.81979591836735,9998,0.0998104690064346,44100
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,4,85147,92473,1.93074829931973,2.09687074829932,7327,0.0738287526908934,44100
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,5,108167,117246,2.45274376417234,2.65861678004535,9080,0.0921121915526892,44100
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,6,122995,130396,2.78897959183673,2.95680272108844,7402,0.0756533151584229,44100
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,7,146131,156282,3.31360544217687,3.54378684807256,10152,0.105076561121844,44100
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,8,160977,168333,3.65024943310658,3.81705215419501,7357,0.0743719784766006,44100
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,9,184059,192703,4.17365079365079,4.36965986394558,8645,0.0860273997595997,44100
23_pulm_eject_sys_mur__single_s2__eject_click_supine_diaph,10,198773,206286,4.50730158730159,4.67766439909297,7514,0.0762482880168358,44100
